Name_email,Local Body,Local Body Type,LSG Code,Block,Assembly,District,District Panchayat,wikidata link,Name_std_ml,wikidata-kml,Local Body Full_ml,വെബ്സൈറ്റ്‌,Assembly(s)
kadakkavoor,kadakkavoor,GP,G010306,chirayinkeezhu,Chirayinkeezhu,Thiruvananthapuram,Thiruvananthapuram,Q3525657,കടയ്ക്കാവൂര്‍,Q3525657,കടയ്ക്കാവൂര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kadakkavoorpanchayat,ചിറയിൻകീഴ്
kadalundi,kadalundi,GP,G111201,kozhikode,Beypore,Kozhikode,Kozhikode,Q13110905,കടലുണ്ടി,Q13110905,കടലുണ്ടി ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kadalundipanchayat,ബേപ്പൂർ
kadamakudy,kadamakudy,GP,G070601,edappally,Vypin,Ernakulam,Ernakulam,Q13110898,കടമക്കുടി,Q13110898,കടമക്കുടി ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kadamakudypanchayat,വൈപ്പിൻ
kadambur,kadambur,GP,G130603,edakkad,Dharmadom,Kannur,Kannur,Q13110901,കടമ്പൂര്‍,Q13110901,കടമ്പൂര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kadamburpanchayat,ധര്‍മ്മടം
kadampanad,kadampanad,GP,G030804,parakkode,Adoor,Pathanamthitta,Pathanamthitta,Q13110899,കടമ്പനാട്,Q13110899,കടമ്പനാട് ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kadampanadpanchayat,അടൂർ
kadampazhipuram,kadampazhipuram,GP,G090402,sreekrishnapuram,Ottapalam,Palakkad,Palakkad,Q15616051,കടമ്പഴിപ്പുറം,Q15616051,കടമ്പഴിപ്പുറം ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kadampazhipurampanchayat,ഒറ്റപ്പാലം
kadanad,kadanad,GP,G050504,lalam,Pala,Kottayam,Kottayam,Q13110892,കടനാട്,Q13110892,കടനാട് ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kadanadpanchayat,പാലാ
kadangode,kadangode,GP,G080207,chowannur,Kunnamkulam,Thrissur,Thrissur,Q13110886,കടങ്ങോട്,Q13110886,കടങ്ങോട് ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kadangodepanchayat,കുന്നംകുളം
kadannappally-panapuzha,Kadannappally Panapuzha,GP,G130309,thalipparamba,Kalliasseri,Kannur,Kannur,Q20575339,കടന്നപ്പള്ളി-പാണപ്പുഴ,Q20575339,കടന്നപ്പള്ളി പാണപ്പുഴ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/panapuzhapanchayat,കല്ല്യാശ്ശേരി
kadaplamattom,kadaplamattom,GP,G050401,uzhavoor,Kaduthuruthy,Kottayam,Kottayam,Q13110894,കടപ്ളാമറ്റം,Q13110894,കടപ്ളാമറ്റം ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kadaplamattompanchayat,കടുത്തുരുത്തി
kadappuram,kadappuram,GP,G080101,chavakkad,Guruvayur,Thrissur,Thrissur,Q13110897,കടപ്പുറം,Q13110897,കടപ്പുറം ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kadappurampanchayat,ഗുരുവായൂര്‍
kadapra,kadapra,GP,G030201,pulikeezhu,Thiruvalla,Pathanamthitta,Pathanamthitta,Q13110896,കടപ്ര,Q13110896,കടപ്ര ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kadaprapanchayat,തിരുവല്ല
kadavallur,kadavallur,GP,G080203,chowannur,Kunnamkulam,Thrissur,Thrissur,Q13564448,കടവല്ലൂര്‍,Q13564448,കടവല്ലൂര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kadavallurpanchayat,കുന്നംകുളം
kadinamkulam,kadinamkulam,GP,G010702,kazhakuttom,Chirayinkeezhu,Thiruvananthapuram,Thiruvananthapuram,Q13110927,കഠിനംകുളം,Q13110927,കഠിനംകുളം ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kadinamkulampanchayat,ചിറയിൻകീഴ്
kadirur,kadirur,GP,G130801,panoor,Thalassery,Kannur,Kannur,Q2456866,കതിരൂര്‍,Q2456866,കതിരൂര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kadirurpanchayat,തലശ്ശേരി
kadukutty,kadukutty,GP,G081601,chalakudy,Chalakudy,Thrissur,Thrissur,Q13111128,കാടുകുറ്റി,Q13111128,കാടുകുറ്റി ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kadukuttypanchayat,ചാലക്കുടി
kadungalloor,kadungalloor,GP,G070204,alangad,Kalamassery,Ernakulam,Ernakulam,Q16136977,കടുങ്ങല്ലൂര്‍,Q16136977,കടുങ്ങല്ലൂര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kadungalloorpanchayat,കളമശ്ശേരി
kaduthuruthy,kaduthuruthy,GP,G050201,kaduthuruthy,Kaduthuruthy,Kottayam,Kottayam,Q16136989,കടുത്തുരുത്തി,Q16136989,കടുത്തുരുത്തി ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kaduthuruthypanchayat,കടുത്തുരുത്തി
kainakary,kainakary,GP,G040606,chambakkulam,Kuttanad,Alappuzha,Alappuzha,Q16134692,കൈനകരി,Q16134692,കൈനകരി ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kainakarypanchayat,കുട്ടനാട്
kaipamangalam,kaipamangalam,GP,G081402,mathilakam,Kaipamangalam,Thrissur,Thrissur,Q13111589,കൈപ്പമംഗലം,Q13111589,കൈപ്പമംഗലം ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kaipamangalampanchayat,കൈപ്പമംഗലം
kaiparambu,kaiparambu,GP,G080603,puzhakkal,Wadakkanchery,Thrissur,Thrissur,Q16134717,കൈപ്പറമ്പ്,Q16134717,കൈപ്പറമ്പ് ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kaiparambupanchayat,വടക്കാഞ്ചേരി
kakkodi,kakkodi,GP,G110901,chelannur,Elathur,Kozhikode,Kozhikode,Q13110870,കക്കോടി,Q13110870,കക്കോടി ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kakkodipanchayat,ഏലത്തൂർ
kakkur,kakkur,GP,G110903,chelannur,Elathur,Kozhikode,Kozhikode,Q13111105,കാക്കൂര്‍,Q13111105,കാക്കൂര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kakkurpanchayat,ഏലത്തൂർ
kaladi,kaladi,GP,G101404,ponnani,Tavanur,Malappuram,Malappuram,Q13111179,കാലടി,Q13111179,കാലടി ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kaladipanchayat,തവനൂര്‍
kalady,kalady,GP,G070307,angamaly,Angamaly,Ernakulam,Ernakulam,Q13111180,കാലടി,Q13111180,കാലടി ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kaladypanchayat,അങ്കമാലി
kalamassery,kalamassery,Municipality,M070100,NA,Kalamassery,Ernakulam,NA,Q16134131,കളമശ്ശേരി,Q16134131,കളമശ്ശേരി മുനിസിപ്പാലിറ്റി,kalamasserymunicipality.lsgkerala.gov.in,കളമശ്ശേരി
kalanjoor,kalanjoor,GP,G030805,parakkode,Konni,Pathanamthitta,Pathanamthitta,Q13111041,കലഞ്ഞൂര്‍,Q13111041,കലഞ്ഞൂര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kalanjoorpanchayat,കോന്നി
kalikavu,kalikavu,GP,G100203,kalikavu,Wandoor,Malappuram,Malappuram,Q13111192,കാളികാവ്,Q13111192,കാളികാവ് ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kalikavupanchayat,വണ്ടൂര്‍
kallar,kallar,GP,G140504,parappa,Kanhangad,Kasaragod,Kasaragod,Q16134225,കള്ളാര്‍,Q16134225,കള്ളാര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kallarpanchayat,കാഞ്ഞങ്ങാട്
kallara,kallara,GP,G010401,vamanapuram,Vamanapuram,Thiruvananthapuram,Thiruvananthapuram,Q16133986,കല്ലറ,Q16133986,കല്ലറ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kallarapanchayat,വാമനപുരം
kallara,kallara,GP,G050202,kaduthuruthy,Vaikom,Kottayam,Kottayam,Q20575868,കല്ലറ,Q20575868,കല്ലറ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kallara,വൈക്കം
kalliasseri,kalliasseri,GP,G130206,kalliasseri,Kalliasseri,Kannur,Kannur,Q13111076,കല്ല്യാശ്ശേരി,Q13111076,കല്ല്യാശ്ശേരി ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kalliasseripanchayat,കല്ല്യാശ്ശേരി
kallikkadu,kallikkadu,GP,G010905,perumkadavila,Parassala,Thiruvananthapuram,Thiruvananthapuram,Q16134232,കള്ളിക്കാട്,Q16134232,കള്ളിക്കാട് ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kallikkadupanchayat,പാറശ്ശാല
kalliyoor,kalliyoor,GP,G010807,nemom,Kovalam,Thiruvananthapuram,Thiruvananthapuram,Q16134010,കല്ലിയൂര്‍,Q16134010,കല്ലിയൂര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kalliyoorpanchayat,കോവളം
kallooppara,kallooppara,GP,G030105,mallappally,Thiruvalla,Pathanamthitta,Pathanamthitta,Q13111073,കല്ലൂപ്പാറ,Q13111073,കല്ലൂപ്പാറ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kalloopparapanchayat,തിരുവല്ല
kalloorkad,kalloorkad,GP,G071405,muvattupuzha,Muvattupuzha,Ernakulam,Ernakulam,Q20575906,കല്ലൂര്‍ക്കാട്,Q20575906,കല്ലൂര്‍ക്കാട് ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kalloorkadpanchayat,മൂവാറ്റുപുഴ
kalluvathukkal,kalluvathukkal,GP,G021002,ithikkara,Chathannoor,Kollam,Kollam,Q16134026,കല്ലുവാതുക്കല്‍,Q16134026,കല്ലുവാതുക്കല്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kalluvathukkalpanchayat,ചാത്തന്നൂർ
kalpakanchery,kalpakanchery,GP,G100907,kuttippuram,Tirur,Malappuram,Malappuram,Q6354338,കല്‍പകഞ്ചരി,Q6354338,കല്‍പകഞ്ചരി ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kalpakancherypanchayat,തിരൂര്‍
kalpetta,kalpetta,Municipality,M120100,NA,kalpetta,Wayanad,NA,Q13111774,കല്‍പ്പറ്റ,Q13111774,കല്‍പ്പറ്റ മുനിസിപ്പാലിറ്റി,kalpettamunicipality.lsgkerala.gov.in,കല്‍പ്പറ്റ
kamakshy,kamakshy,GP,G060504,idukki,Idukki,Idukki,Idukki,Q13111161,കാമാക്ഷി,Q13111161,കാമാക്ഷി ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kamakshypanchayat,ഇടുക്കി
kanakkary,kanakkary,GP,G050403,uzhavoor,Kaduthuruthy,Kottayam,Kottayam,Q13111148,കാണക്കാരി,Q13111148,കാണക്കാരി ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kanakkarypanchayat,കടുത്തുരുത്തി
kanchiyar,kanchiyar,GP,G060604,kattappana,Idukki,Idukki,Idukki,Q16134493,കാഞ്ചിയാര്‍,Q16134493,കാഞ്ചിയാര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kanchiyarpanchayat,ഇടുക്കി
kandalloor,kandalloor,GP,G041202,muthukulam,Kayamkulam,Alappuzha,Alappuzha,Q16137154,കണ്ടല്ലൂര്‍,Q16137154,കണ്ടല്ലൂര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kandalloorpanchayat,കായംകുളം
kandanassery,kandanassery,GP,G080204,chowannur,Manalur,Thrissur,Thrissur,Q20575406,കണ്ടാണശ്ശേരി,Q20575406,കണ്ടാണശ്ശേരി ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kandanasserypanchayat,മണലൂര്‍
kangazha,kangazha,GP,G051002,vazhoor,Kanjirappally,Kottayam,Kottayam,Q16136748,കങ്ങഴ,Q16136748,കങ്ങഴ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kangazhapanchayat,കാഞ്ഞിരപ്പള്ളി
kanhangad,kanhangad,Municipality,M140100,NA,Kanhangad,Kasaragod,NA,Q20576121,കാഞ്ഞങ്ങാട്,Q20576121,കാഞ്ഞങ്ങാട് മുനിസിപ്പാലിറ്റി,kanhangadmunicipality.lsgkerala.gov.in,കാഞ്ഞങ്ങാട്
kanhirapuzha,kanhirapuzha,GP,G090505,mannarkkad,Kongad,Palakkad,Palakkad,Q16134557,കാഞ്ഞിരപുഴ,Q16134557,കാഞ്ഞിരപുഴ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kanhirapuzhapanchayat,കോങ്ങാട്
kanichar,kanichar,GP,G131101,peravoor,Peravoor,Kannur,Kannur,Q13110930,കണിച്ചാര്‍,Q13110930,കണിച്ചാര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kanicharpanchayat,പേരാവൂര്‍
kaniyambetta,kaniyambetta,GP,G120205,panamaram,kalpetta,Wayanad,Wayanad,Q6363313,കണിയാമ്പറ്റ,Q6363313,കണിയാമ്പറ്റ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kaniyambettapanchayat,കല്‍പ്പറ്റ
kanjikuzhy,kanjikuzhy,GP,G040302,kanjikuzhy,Cherthala,Alappuzha,Alappuzha,Q13110882,കഞ്ഞിക്കുഴി,Q13110882,കഞ്ഞിക്കുഴി ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kanjikuzhypanchayat,ചേർത്തല
kanjiramkulam,kanjiramkulam,GP,G011002,athiyannoor,Kovalam,Thiruvananthapuram,Thiruvananthapuram,Q16134526,കാഞ്ഞിരംകുളം,Q16134526,കാഞ്ഞിരംകുളം ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kanjiramkulampanchayat,കോവളം
kanjirappally,kanjirappally,GP,G051102,kanjirappally,Kanjirappally,Kottayam,Kottayam,Q20576136,കാഞ്ഞിരപ്പള്ളി,Q20576136,കാഞ്ഞിരപ്പള്ളി ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kanjirappallypanchayat,കാഞ്ഞിരപ്പള്ളി
kanjoor,kanjoor,GP,G070306,angamaly,Aluva,Ernakulam,Ernakulam,Q13111121,കാഞ്ഞൂര്‍,Q13111121,കാഞ്ഞൂര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kanjoorpanchayat,ആലുവ
kankol-alappadamba,Kankol - Alappadamba,GP,G130104,payyannur,Payyannur,Kannur,Kannur,Q13111108,കാങ്കോല്‍-ആലപ്പടമ്പ,Q13111108,കാങ്കോല്‍ - ആലപ്പടമ്പ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/alappadambapanchayat,പയ്യന്നൂര്‍
kannadi,kannadi,GP,G090807,kuzhalmannam,Palakkad,Palakkad,Palakkad,Q13110944,കണ്ണാടി,Q13110944,കണ്ണാടി ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kannadipanchayat,പാലക്കാട്
kannamangalam,kannamangalam,GP,G101006,vengara,Vengara,Malappuram,Malappuram,Q61366027,കണ്ണമംഗലം,Q61366027,കണ്ണമംഗലം ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kannamangalampanchayat,വേങ്ങര
kannambra,kannambra,GP,G091208,alathur,Tarur,Palakkad,Palakkad,Q13110940,കണ്ണമ്പ്ര,Q13110940,കണ്ണമ്പ്ര ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kannambrapanchayat,തരൂര്‍
kannapuram,kannapuram,GP,G130207,kalliasseri,Kalliasseri,Kannur,Kannur,Q16137200,കണ്ണപുരം,Q16137200,കണ്ണപുരം ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kannapurampanchayat,കല്ല്യാശ്ശേരി
kannur,kannur,Corporation,C130100,NA,,Kannur,NA,Q30645795,കണ്ണൂര്‍,Q30645795,കണ്ണൂര്‍ കോര്‍പ്പറേഷന്‍,kannurcorporation.lsgkerala.gov.in,"അഴീക്കോട്, കണ്ണൂര്‍"
kanthalloor,kanthalloor,GP,G060203,devikulam,Devikulam,Idukki,Idukki,Q16134999,കാന്തല്ലൂര്‍,Q16134999,കാന്തല്ലൂര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kanthalloorpanchayat,ദേവികുളം
kappur,kappur,GP,G090103,trithala,Thrithala,Palakkad,Palakkad,Q13110970,കപ്പൂര്‍,Q13110970,കപ്പൂര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kappurpanchayat,തൃത്താല
karadka,karadka,GP,G140204,karadka,Kasaragod,Kasaragod,Kasaragod,Q13111177,കാറഡുക്ക,Q13111177,കാറഡുക്ക ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/karadkapanchayat,കാസര്‍കോഡ്
karakulam,karakulam,GP,G010604,nedumangad,Nedumangad,Thiruvananthapuram,Thiruvananthapuram,Q6368156,കരകുളം,Q6368156,കരകുളം ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/karakulampanchayat,നെടുമങ്ങാട്
karakurussi,karakurussi,GP,G090407,sreekrishnapuram,Kongad,Palakkad,Palakkad,Q13111171,കാരാകുറുശ്ശി,Q13111171,കാരാകുറുശ്ശി ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/karakurussipanchayat,കോങ്ങാട്
karalam,karalam,GP,G081201,irinjalakuda,Irinjalakuda,Thrissur,Thrissur,Q13111178,കാറളം,Q13111178,കാറളം ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/karalampanchayat,ഇരിങ്ങാലക്കുട
karassery,karassery,GP,G111104,kunnamangalam,Thiruvambady,Kozhikode,Kozhikode,Q13564480,കാരശ്ശേരി,Q13564480,കാരശ്ശേരി ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/karasserypanchayat,തിരുവമ്പാടി
karavaloor,karavaloor,GP,G020506,anchal,Punalur,Kollam,Kollam,Q13110996,കരവാളൂര്‍,Q13110996,കരവാളൂര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/karavaloorpanchayat,പുനലൂർ
karavaram,karavaram,GP,G010203,kilimanoor,Attingal,Thiruvananthapuram,Thiruvananthapuram,Q6368839,കരവാരം,Q6368839,കരവാരം ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/karavarampanchayat,ആറ്റിങ്ങൽ
kareepra,kareepra,GP,G020603,kottarakara,Kottarakkara,Kollam,Kollam,Q13111021,കരീപ്ര,Q13111021,കരീപ്ര ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kareeprapanchayat,കൊട്ടാരക്കര
karimannoor,karimannoor,GP,G060406,elemdesam,Thodupuzha,Idukki,Idukki,Q16133651,കരിമണ്ണൂര്‍,Q16133651,കരിമണ്ണൂര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/karimannoorpanchayat,തൊടുപുഴ
karimba,karimba,GP,G090502,mannarkkad,Kongad,Palakkad,Palakkad,Q6370770,കരിമ്പ,Q6370770,കരിമ്പ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/karimbapanchayat,കോങ്ങാട്
karimkunnam,karimkunnam,GP,G060704,thodupuzha,Thodupuzha,Idukki,Idukki,Q13111003,കരിങ്കുന്നം,Q13111003,കരിങ്കുന്നം ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/karimkunnampanchayat,തൊടുപുഴ
karimpuzha,karimpuzha,GP,G090403,sreekrishnapuram,Ottapalam,Palakkad,Palakkad,Q13111012,കരിമ്പുഴ,Q13111012,കരിമ്പുഴ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/karimpuzhapanchayat,ഒറ്റപ്പാലം
karivellur-peralam,Karivellur Peralam,GP,G130103,payyannur,Payyannur,Kannur,Kannur,Q13111018,കരിവെള്ളൂര്‍-പെരളം,Q13111018,കരിവെള്ളൂര്‍ പെരളം ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/peralampanchayat,പയ്യന്നൂര്‍
karode,karode,GP,G011102,parassala,Neyyattinkara,Thiruvananthapuram,Thiruvananthapuram,Q16135238,കാരോട്,Q16135238,കാരോട് ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/karodepanchayat,നെയ്യാറ്റിൻകര
karoor,karoor,GP,G050502,lalam,Pala,Kottayam,Kottayam,Q16133748,കരൂര്‍,Q16133748,കരൂര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/karoorpanchayat,പാലാ
karthikappally,karthikappally,GP,G040901,haripad,Haripad,Alappuzha,Alappuzha,Q13111226,കാര്‍ത്തികപ്പള്ളി,Q13111226,കാര്‍ത്തികപ്പള്ളി ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/karthikappallypanchayat,ഹരിപ്പാട്
karukachal,karukachal,GP,G051006,vazhoor,Kanjirappally,Kottayam,Kottayam,Q16133763,കറുകച്ചാല്‍,Q16133763,കറുകച്ചാല്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/karukachalpanchayat,കാഞ്ഞിരപ്പള്ളി
karukutty,karukutty,GP,G070304,angamaly,Angamaly,Ernakulam,Ernakulam,Q16133776,കറുകുറ്റി,Q16133776,കറുകുറ്റി ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/karukuttypanchayat,അങ്കമാലി
karulai,karulai,GP,G100202,kalikavu,Nilambur,Malappuram,Malappuram,Q6373625,കരുളായ്,Q6373625,കരുളായ് ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/karulaipanchayat,നിലമ്പൂര്‍
karumallur,karumallur,GP,G070201,alangad,Kalamassery,Ernakulam,Ernakulam,Q6373634,കരുമാല്ലൂര്‍,Q6373634,കരുമാല്ലൂര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/karumallurpanchayat,കളമശ്ശേരി
karumkulam,karumkulam,GP,G011003,athiyannoor,Kovalam,Thiruvananthapuram,Thiruvananthapuram,Q13111020,കരുംകുളം,Q13111020,കരുംകുളം ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/karumkulampanchayat,കോവളം
karunagappally,karunagappally,Municipality,M020100,NA,Karunagapally,Kollam,NA,Q16133703,കരുനാഗപ്പള്ളി,Q16133703,കരുനാഗപ്പള്ളി മുനിസിപ്പാലിറ്റി,karunagappally.lsgkerala.gov.in,കരുനാഗപ്പള്ളി
karunapuram,karunapuram,GP,G060303,nedumkandam,udumbanchola,Idukki,Idukki,Q13111023,കരുണാപുരം,Q13111023,കരുണാപുരം ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/karunapurampanchayat,ഉടുമ്പന്‍ചോല
karuvarakundu,karuvarakundu,GP,G100205,kalikavu,Wandoor,Malappuram,Malappuram,Q13111031,കരുവാരകുണ്ട്,Q13111031,കരുവാരകുണ്ട് ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/karuvarakundupanchayat,വണ്ടൂര്‍
karuvatta,karuvatta,GP,G040904,haripad,Haripad,Alappuzha,Alappuzha,Q13111032,കരുവാറ്റ,Q13111032,കരുവാറ്റ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/karuvattapanchayat,ഹരിപ്പാട്
kasaragod,kasaragod,Municipality,M140200,NA,Kasaragod,Kasaragod,NA,Q13111219,കാസര്‍കോഡ്,Q13111219,കാസര്‍കോഡ് മുനിസിപ്പാലിറ്റി,kasaragodmunicipality.lsgkerala.gov.in,കാസര്‍കോഡ്
kattakada,kattakada,GP,G010508,vellanad,Kattakkada,Thiruvananthapuram,Thiruvananthapuram,Q16134616,കാട്ടാക്കട,Q16134616,കാട്ടാക്കട ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kattakadapanchayat,കാട്ടാക്കട
kattakampal,kattakampal,GP,G080205,chowannur,Kunnamkulam,Thrissur,Thrissur,Q16134584,കാട്ടകാമ്പാല്‍,Q16134584,കാട്ടകാമ്പാല്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kattakampalpanchayat,കുന്നംകുളം
kattapana,Kattappana,Municipality,M060200,NA,Idukki,Idukki,NA,Q13110924,കട്ടപ്പന,Q13110924,കട്ടപ്പന മുനിസിപ്പാലിറ്റി,kattapanamunicipality.lsgkerala.gov.in,ഇടുക്കി
kattippara,kattippara,GP,G111009,koduvally,Koduvally,Kozhikode,Kozhikode,Q13110925,കട്ടിപ്പാറ,Q13110925,കട്ടിപ്പാറ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kattipparapanchayat,കൊടുവള്ളി
kattoor,kattoor,GP,G081202,irinjalakuda,Irinjalakuda,Thrissur,Thrissur,Q13111147,കാട്ടൂര്‍,Q13111147,കാട്ടൂര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kattoorpanchayat,ഇരിങ്ങാലക്കുട
kavalam,kavalam,GP,G040704,veliyanad,Kuttanad,Alappuzha,Alappuzha,Q13111200,കാവാലം,Q13111200,കാവാലം ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kavalampanchayat,കുട്ടനാട്
kavalangad,kavalangad,GP,G071105,kothamangalam,Kothamangalam,Ernakulam,Ernakulam,Q16134311,കവളങ്ങാട്,Q16134311,കവളങ്ങാട് ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kavalangadpanchayat,കോതമംഗലം
kavanur,kavanur,GP,G100502,areacode,Eranad,Malappuram,Malappuram,Q13111203,കാവനൂര്‍,Q13111203,കാവനൂര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kavanurpanchayat,ഏറനാട്
kavassery,kavassery,GP,G091203,alathur,Tarur,Palakkad,Palakkad,Q6379146,കാവശ്ശേരി,Q6379146,കാവശ്ശേരി ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/kavasserypanchayat,തരൂര്‍
