Name_email,Local Body,Local Body Type,LSG Code,Block,Assembly,District,District Panchayat,wikidata link,Name_std_ml,wikidata-kml,Local Body Full_ml,വെബ്സൈറ്റ്‌,Assembly(s)
arakulam,arakulam,GP,G060503,idukki,Idukki,Idukki,Idukki,Q16135311,അറക്കുളം,Q16135311,അറക്കുളം ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/arakulampanchayat,ഇടുക്കി
arakuzha,arakuzha,GP,G071402,muvattupuzha,Muvattupuzha,Ernakulam,Ernakulam,Q13110253,ആരക്കുഴ,Q13110253,ആരക്കുഴ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/arakuzhapanchayat,മൂവാറ്റുപുഴ
aralam,aralam,GP,G131001,iritty,Peravoor,Kannur,Kannur,Q87746071,ആറളം,Q87746071,ആറളം ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/aralampanchayat,പേരാവൂര്‍
aranmula,aranmula,GP,G030704,pandalam,Aranmula,Pathanamthitta,Pathanamthitta,Q16136669,ആറന്മുള,Q16136669,ആറന്മുള ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/aranmulapanchayat,ആറന്മുള
arattupuzha,arattupuzha,GP,G041205,muthukulam,Haripad,Alappuzha,Alappuzha,Q4784452,ആറാട്ടുപുഴ,Q4784452,ആറാട്ടുപുഴ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/arattupuzhapanchayat,ഹരിപ്പാട്
areacode,areacode,GP,G100507,areacode,Eranad,Malappuram,Malappuram,Q16135180,അരീക്കോട്,Q16135180,അരീക്കോട് ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/areacodepanchayat,ഏറനാട്
arikkulam,arikkulam,GP,G110802,panthalayani,Perambra,Kozhikode,Kozhikode,Q13110103,അരിക്കുളം,Q13110103,അരിക്കുളം ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/arikkulampanchayat,പേരാംബ്ര
arimpur,arimpur,GP,G080905,anthikad,Manalur,Thrissur,Thrissur,Q16135141,അരിമ്പൂര്‍,Q16135141,അരിമ്പൂര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/arimpurpanchayat,മണലൂര്‍
ar-nagar,AR Nagar,GP,G101001,vengara,Vengara,Malappuram,Malappuram,Q16134501,അബ്ദുറഹിമാന്‍-നഗര്‍,Q16134501,അബ്ദുറഹിമാന്‍ നഗര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/arnagarpanchayat,വേങ്ങര
arookutty,arookutty,GP,G040101,thycattussery,Aroor,Alappuzha,Alappuzha,Q2449457,അരൂക്കുറ്റി,Q2449457,അരൂക്കുറ്റി ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/arookuttypanchayat,അരൂർ
aroor,aroor,GP,G040207,pattanakkad,Aroor,Alappuzha,Alappuzha,Q588767,അരൂര്‍,Q588767,അരൂര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/aroorpanchayat,അരൂർ
arpookara,arpookara,GP,G050304,ettumanoor,Ettumanoor,Kottayam,Kottayam,Q20573873,ആര്‍പ്പൂക്കര,Q20573873,ആര്‍പ്പൂക്കര ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/arpookarapanchayat,ഏറ്റുമാനൂർ
aruvappulam,aruvappulam,GP,G030602,konni,Konni,Pathanamthitta,Pathanamthitta,Q16135220,അരുവാപ്പുലം,Q16135220,അരുവാപ്പുലം ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/aruvappulampanchayat,കോന്നി
aruvikkara,aruvikkara,GP,G010602,nedumangad,Aruvikkara,Thiruvananthapuram,Thiruvananthapuram,Q4802333,അരുവിക്കര,Q4802333,അരുവിക്കര ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/aruvikkarapanchayat,അരുവിക്കര
aryad,aryad,GP,G040401,aryad,Alappuzha,Alappuzha,Alappuzha,Q13110270,ആര്യാട്,Q13110270,ആര്യാട് ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/aryadpanchayat,ആലപ്പുഴ
aryanad,aryanad,GP,G010501,vellanad,Aruvikkara,Thiruvananthapuram,Thiruvananthapuram,Q4802657,ആര്യനാട്,Q4802657,ആര്യനാട് ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/aryanadpanchayat,അരുവിക്കര
aryancode,aryancode,GP,G010904,perumkadavila,Parassala,Thiruvananthapuram,Thiruvananthapuram,Q13110254,ആര്യങ്കോട്,Q13110254,ആര്യങ്കോട് ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/aryancodepanchayat,പാറശ്ശാല
aryankavu,aryankavu,GP,G020508,anchal,Punalur,Kollam,Kollam,Q13110115,ആര്യങ്കാവ്,Q13110115,ആര്യങ്കാവ് ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/aryankavupanchayat,പുനലൂർ
asamannoor,asamannoor,GP,G070401,koovappady,Perumbavoor,Ernakulam,Ernakulam,Q16135650,അശമന്നൂര്‍,Q16135650,അശമന്നൂര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/asamannoorpanchayat,പെരുമ്പാവൂര്‍
athavanad,athavanad,GP,G100901,kuttippuram,Tirur,Malappuram,Malappuram,Q13110215,ആതവനാട്,Q13110215,ആതവനാട് ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/athavanadpanchayat,തിരൂര്‍
athirampuzha,athirampuzha,GP,G050303,ettumanoor,Ettumanoor,Kottayam,Kottayam,Q13109891,അതിരമ്പുഴ,Q13109891,അതിരമ്പുഴ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/athirampuzhapanchayat,ഏറ്റുമാനൂർ
athirappilly,athirappilly,GP,G081606,chalakudy,Chalakudy,Thrissur,Thrissur,Q3595871,അതിരപ്പിള്ളി,Q3595871,അതിരപ്പിള്ളി ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/athirappillypanchayat,ചാലക്കുടി
athiyannoor,athiyannoor,GP,G011001,athiyannoor,Neyyattinkara,Thiruvananthapuram,Thiruvananthapuram,Q4813695,അതിയന്നൂര്‍,Q4813695,അതിയന്നൂര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/athiyannoorpanchayat,നെയ്യാറ്റിൻകര
atholi,atholi,GP,G110805,panthalayani,Balussery,Kozhikode,Kozhikode,Q13109913,അത്തോളി,Q13109913,അത്തോളി ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/atholipanchayat,ബാലുശ്ശേരി
attingal,attingal,Municipality,M010200,NA,Attingal,Thiruvananthapuram,NA,Q13110278,ആറ്റിങ്ങല്‍,Q13110278,ആറ്റിങ്ങല്‍ മുനിസിപ്പാലിറ്റി,attingalmunicipality.lsgkerala.gov.in,ആറ്റിങ്ങൽ
avanur,avanur,GP,G080602,puzhakkal,Wadakkanchery,Thrissur,Thrissur,Q13110145,അവണൂര്‍,Q13110145,അവണൂര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/avanurpanchayat,വടക്കാഞ്ചേരി
avinissery,avinissery,GP,G081001,cherpu,Nattika,Thrissur,Thrissur,Q99998163,ആവിണിശ്ശേരി,Q99998163,ആവിണിശ്ശേരി ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/avinisserypanchayat,നാട്ടിക
avoly,avoly,GP,G071401,muvattupuzha,Muvattupuzha,Ernakulam,Ernakulam,Q16136975,ആവോലി,Q16136975,ആവോലി ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/avolypanchayat,മൂവാറ്റുപുഴ
